Date,Confirmed,Recovered,Deaths,Quarantine,Isolation,Confirmed Today,Recovered Today,Deaths Today,created_at,updated_at
2020-07-07,16168,7499,35,25727,8634,204,688,0,2020-07-07 16:19:16,2020-07-07 16:19:16
2020-07-08,16423,7752,35,25040,8636,255,253,0,2020-07-08 16:23:00,2020-07-08 16:23:00
2020-07-09,16531,7891,35,24425,8605,108,139,0,2020-07-09 16:22:32,2020-07-09 16:22:32
2020-07-10,16649,8011,35,23910,8603,118,120,0,2020-07-10 16:23:07,2020-07-10 16:23:07
2020-07-11,16719,8442,38,24097,8239,70,431,3,2020-07-11 16:19:39,2020-07-11 16:19:39
2020-07-12,16801,8589,38,23784,8174,82,147,0,2020-07-12 16:20:18,2020-07-12 16:20:18
2020-07-13,16945,10294,38,23470,6613,144,1705,0,2020-07-13 16:20:44,2020-07-13 16:20:44
2020-07-14,17061,10328,38,24716,6695,116,34,0,2020-07-14 16:20:44,2020-07-14 16:20:44
2020-07-15,17177,11025,39,24527,6113,116,697,1,2020-07-15 16:26:03,2020-07-15 16:26:03
2020-07-16,17344,11249,39,23500,6056,167,213,0,2020-07-16 16:25:35,2020-07-16 16:25:35
2020-07-17,17445,11534,40,22756,5871,101,285,1,2020-07-17 16:28:52,2020-07-17 16:28:52
2020-07-18,17502,11637,40,23275,5825,57,103,0,2020-07-18 16:27:25,2020-07-18 16:27:25
2020-07-19,17658,11695,40,22662,5923,156,103,0,2020-07-19 16:24:56,2020-07-19 16:24:56
2020-07-20,17844,11868,40,22228,5936,186,173,0,2020-07-20 16:25:33,2020-07-20 16:25:33
2020-07-21,17994,12477,40,21704,5477,150,609,0,2020-07-21 16:21:18,2020-07-21 16:21:18
2020-07-22,18094,12684,42,20842,5368,100,207,2,2020-07-22 16:21:44,2020-07-22 16:21:44
2020-07-23,18241,12840,43,20098,5358,147,156,1,2020-07-23 16:22:21,2020-07-23 16:22:21
2020-07-24,18374,12947,44,19444,5383,133,107,1,2020-07-24 16:19:17,2020-07-24 16:19:17
2020-07-25,18483,13053,45,18183,5385,109,106,1,2020-07-25 16:22:24,2020-07-25 16:22:24
2020-07-26,18613,13128,45,17903,5440,130,75,0,2020-07-26 16:19:17,2020-07-26 16:19:17
2020-07-27,18752,13754,48,16371,4950,139,626,3,2020-07-27 16:18:52,2020-07-27 16:18:52
2020-07-28,19063,13875,49,15331,5139,311,121,1,2020-07-28 16:48:30,2020-07-28 16:48:30
2020-07-29,19273,14021,49,14471,5203,210,146,0,2020-07-29 16:22:58,2020-07-29 16:22:58
2020-07-30,19547,14248,52,13201,5247,274,227,3,2020-07-30 16:55:57,2020-07-30 16:55:57
2020-07-31,19771,14399,56,12111,5316,224,151,4,2020-07-31 16:26:43,2020-07-31 16:26:43
2020-08-01,20086,14492,56,11533,5538,315,93,0,2020-08-01 18:27:58,2020-08-01 18:27:58
2020-08-02,20332,14603,57,10934,5672,246,111,1,2020-08-02 16:27:05,2020-08-02 16:27:05
2020-08-03,20750,14961,57,10452,5732,418,358,0,2020-08-03 16:20:57,2020-08-03 16:20:57
2020-08-04,21009,15026,58,10452,5925,259,65,1,2020-08-04 17:13:20,2020-08-04 17:13:20
2020-08-05,21390,15156,60,9925,6174,381,130,2,2020-08-05 16:22:52,2020-08-05 16:22:52
2020-08-06,21750,15389,65,9470,6296,360,233,5,2020-08-06 16:23:34,2020-08-06 16:23:34
2020-08-07,22214,15814,70,10207,6330,464,425,5,2020-08-07 16:21:16,2020-08-07 16:21:16
2020-08-08,22592,16313,73,10792,6206,378,499,3,2020-08-08 16:18:43,2020-08-08 16:18:43
2020-08-09,22972,16353,75,11038,6544,380,40,2,2020-08-09 16:20:16,2020-08-09 16:20:16
2020-08-10,23310,16493,79,10759,6738,338,140,4,2020-08-10 16:20:14,2020-08-10 16:20:14
2020-08-11,23948,16664,83,11058,7201,638,171,4,2020-08-11 16:28:46,2020-08-11 16:28:46
2020-08-12,24432,16728,91,14846,7613,484,64,8,2020-08-12 16:40:10,2020-08-12 16:40:10
2020-08-13,24957,16837,95,14769,8025,525,109,4,2020-08-13 16:27:53,2020-08-13 16:27:53
2020-08-14,25551,17077,99,14638,7375,594,240,4,2020-08-14 20:14:10,2020-08-14 20:14:10
2020-08-15,26019,17201,102,14448,8716,468,124,3,2020-08-15 16:40:35,2020-08-15 16:40:35
2020-08-16,26660,17335,104,15243,9221,641,134,2,2020-08-16 16:20:14,2020-08-16 16:20:14
2020-08-17,27241,17495,107,15198,9639,581,160,3,2020-08-17 16:22:12,2020-08-17 16:22:12
2020-08-18,28257,17580,114,13926,10563,1016,85,7,2020-08-18 16:21:18,2020-08-18 16:21:18
2020-08-19,28938,17700,120,13571,11118,681,120,6,2020-08-19 16:21:03,2020-08-19 16:21:03
2020-08-20,29645,17964,126,11768,11555,707,264,6,2020-08-20 16:21:02,2020-08-20 16:21:02
2020-08-21,30483,18214,137,12234,12132,838,250,11,2020-08-21 16:19:41,2020-08-21 16:19:41
2020-08-22,31117,18350,146,11658,12621,634,136,9,2020-08-22 16:19:20,2020-08-22 16:19:20
2020-08-23,31935,18631,149,11414,13155,818,281,3,2020-08-23 16:21:06,2020-08-23 16:21:06
2020-08-24,32678,18806,157,11275,13715,743,175,8,2020-08-24 16:19:40,2020-08-24 16:19:40
2020-08-25,33533,19119,164,10493,14250,855,313,7,2020-08-25 18:27:00,2020-08-25 18:27:00
2020-08-26,34418,19504,175,9832,14739,885,385,11,2020-08-26 16:28:48,2020-08-26 16:28:48
2020-08-27,35529,20073,183,9488,15273,1111,569,8,2020-08-27 16:23:16,2020-08-27 16:23:16
2020-08-28,36456,20242,195,8939,16019,927,169,12,2020-08-28 16:28:16,2020-08-28 16:28:16
2020-08-29,37340,20555,207,8035,16578,884,313,12,2020-08-29 16:42:46,2020-08-29 16:42:46
2020-08-30,38561,20822,221,7797,17518,1221,267,14,2020-08-30 16:25:58,2020-08-30 16:25:58
2020-08-31,39460,21410,228,7337,17822,899,588,7,2020-08-31 16:21:51,2020-08-31 16:21:51
2020-09-01,40529,22178,239,7390,18112,1069,768,11,2020-09-01 16:20:09,2020-09-01 16:20:09
2020-09-02,41649,23290,251,6766,18108,1120,1112,12,2020-09-02 16:22:12,2020-09-02 16:22:12
2020-09-03,42877,24207,257,6749,18413,1228,917,6,2020-09-03 16:21:30,2020-09-03 16:21:30
2020-09-04,44236,25561,271,6561,18404,1359,1354,14,2020-09-04 16:23:18,2020-09-04 16:23:18
2020-09-05,45277,27127,280,6701,17870,1041,1566,9,2020-09-05 16:20:07,2020-09-05 16:20:07
2020-09-06,46257,28941,289,4703,17027,980,1814,9,2020-09-06 16:22:17,2020-09-06 16:22:17
2020-09-07,47236,30677,300,4739,16259,979,1736,11,2020-09-07 16:22:32,2020-09-07 16:22:32
2020-09-08,48138,32964,306,5310,14868,902,2287,6,2020-09-08 16:17:51,2020-09-08 16:17:51
2020-09-09,49219,33882,312,5480,15025,1081,918,6,2020-09-09 16:18:39,2020-09-09 16:18:39
2020-09-10,50465,35700,317,5806,14448,1246,1818,5,2020-09-10 16:19:35,2020-09-10 16:19:35
2020-09-11,51919,36672,322,6078,14925,1454,972,5,2020-09-11 16:22:20,2020-09-11 16:22:20
2020-09-12,53120,37524,336,6354,15260,1201,852,14,2020-09-12 18:20:50,2020-09-12 18:20:50
2020-09-13,54159,38697,345,6536,15117,1039,1173,9,2020-09-13 16:21:15,2020-09-13 16:21:15
2020-09-14,55329,39576,360,6892,15393,1170,879,15,2020-09-14 16:19:03,2020-09-14 16:19:03
2020-09-15,56788,40638,371,7250,15779,1459,1062,11,2020-09-15 16:21:31,2020-09-15 16:21:31
2020-09-16,58327,41706,379,7820,16242,1539,1068,8,2020-09-16 16:19:38,2020-09-16 16:19:38
